pttp_overbeek	1	130	21957770  	1
pttp_overbeek	4	130	5538278  	3.96473
pttp_overbeek	6	130	3656363  	6.00536
pttp_overbeek	9	130	2382949  	9.21454
pttp_overbeek	12	130	2033633  	10.7973
pttp_overbeek	15	130	1516048  	14.4836
pttp_overbeek	18	130	1115424  	19.6856
pttp_overbeek	21	130	1049140  	20.9293
pttp_overbeek	24	130	963704  	22.7848
pttp_overbeek	27	130	773735  	28.3789
pttp_overbeek	30	130	743226  	29.5439
pttp_overbeek	33	130	641540  	34.2267
pttp_overbeek	36	130	580686  	37.8135
pttp_overbeek	39	130	570347  	38.499
pttp_overbeek 	42	130	543942  	40.3679
