156 0 335 0
167 4764 335 2444.44
168 5728 335 2666.67
170 7128 335 3111.11
170 7255 335 3111.11
177 8197 335 4666.67
180 10261 335 5333.33
183 11046 335 6000
183 11728 335 6000
191 11728 335 7777.78
191 12886 335 7777.78
192 13248 335 8000
192 13248 335 8000
192 13248 335 8000
192 13271 318 8000
195 13271 332 8666.67
195 13932 323 8666.67
195 14493 317 8666.67
195 14650 315 8666.67
196 14650 319 8888.89
196 15030 315 8888.89
196 15230 313 8888.89
196 15378 312 8888.89
196 15439 311 8888.89
196 15468 311 8888.89
197 15468 315 9111.11
197 15672 312 9111.11
197 15909 310 9111.11
197 16029 309 9111.11
198 16029 338 9333.33
198 16431 330 9333.33
198 16846 323 9333.33
198 17033 321 9333.33
199 17033 326 9555.56
199 17568 318 9555.56
199 17813 314 9555.56
199 18057 311 9555.56
199 18271 308 9555.56
202 18280 323 10222.2
202 18717 317 10222.2
202 18989 313 10222.2
202 19166 311 10222.2
202 19315 309 10222.2
202 19315 309 10222.2
202 19315 309 10222.2
202 22423 281 10222.2
203 22421 284 10444.4
203 22822 281 10444.4
203 23335 274 10444.4
203 23416 273 10444.4
203 23426 273 10444.4
204 23426 276 10666.7
204 23923 273 10666.7
204 24132 272 10666.7
204 24327 271 10666.7
204 24538 270 10666.7
204 24544 270 10666.7
205 24544 265 10888.9
205 24702 264 10888.9
205 24834 264 10888.9
205 25458 261 10888.9
205 26037 258 10888.9
205 26230 257 10888.9
209 26230 268 11777.8
209 27409 263 11777.8
211 27409 268 12222.2
212 27409 255 12444.4
213 27409 258 12666.7
216 27409 267 13333.3
216 27714 266 13333.3
216 27714 266 13333.3
216 27983 265 13333.3
216 28788 261 13333.3
217 29365 262 13555.6
224 29609 283 15111.1
231 29609 305 16666.7
238 29609 324 18222.2
244 29939 343 19555.6
244 30382 338 19555.6
244 30757 335 19555.6
244 30992 333 19555.6
245 31015 335 19777.8
245 31346 332 19777.8
245 31534 331 19777.8
245 31671 330 19777.8
245 31671 330 19777.8
246 31671 332 20000
246 31866 331 20000
246 31951 330 20000
246 32066 329 20000
246 32716 324 20000
246 33091 321 20000
247 33273 322 20222.2
247 33273 322 20222.2
247 34035 317 20222.2
247 34295 315 20222.2
248 34295 318 20444.4
248 34576 316 20444.4
248 35375 311 20444.4
252 35413 358 21333.3
252 36151 348 21333.3
253 36151 351 21555.6
253 36562 346 21555.6
253 37643 334 21555.6
253 37910 332 21555.6
255 37910 337 22000
255 38340 333 22000
255 39485 323 22000
259 39485 338 22888.9
259 40883 325 22888.9
259 41401 321 22888.9
259 41698 319 22888.9
260 41663 321 23111.1
260 42270 317 23111.1
260 42473 315 23111.1
260 42520 315 23111.1
260 42672 314 23111.1
260 42672 289 23111.1
261 42672 291 23333.3
261 43363 288 23333.3
261 43466 288 23333.3
261 44122 286 23333.3
268 44150 295 24888.9
268 44324 295 24888.9
268 44373 294 24888.9
268 44403 294 24888.9
269 44403 296 25111.1
269 44781 295 25111.1
269 45020 294 25111.1
269 45630 292 25111.1
272 45733 298 25777.8
272 46325 296 25777.8
272 46848 294 25777.8
272 46848 294 25777.8
275 46848 301 26444.4
275 47328 299 26444.4
275 47508 298 26444.4
275 47766 297 26444.4
275 47945 297 26444.4
275 48294 295 26444.4
276 48294 297 26666.7
276 48636 296 26666.7
276 48669 296 26666.7
276 48979 295 26666.7
276 49167 294 26666.7
276 49572 293 26666.7
279 49572 298 27333.3
279 50155 297 27333.3
279 50225 296 27333.3
279 50402 296 27333.3
279 50456 296 27333.3
279 50633 295 27333.3
281 51469 296 27777.8
281 52725 293 27777.8
282 53761 292 28000
283 54172 292 28222.2
289 54439 300 29555.6
301 54922 317 32222.2
321 55068 468 36666.7
322 55848 401 36888.9
322 56651 368 36888.9
322 57025 358 36888.9
323 57025 360 37111.1
323 57980 342 37111.1
323 58952 331 37111.1
323 59241 328 37111.1
325 59241 330 37555.6
325 59241 330 38666.7
