1 1898 1 1
3 1918 0.989572 1
6 1207 1.57249 4
9 450 4.21778 10
12 242 7.84298 24
15 187 10.1497 28
18 145 13.0897 23
21 141 13.461 19
24 171 11.0994 13
27 277 6.85199 10
30 297 6.39 7.5
33 425 4.46588 5.0
36 602 3.15282 3.3
