1 1
2 1
3 2
4 3
5 4
6 6
7 8
8 10
9 14
10 18
11 24
12 31
13 42
14 52
15 66
16 80
17 102
18 124
19 152
20 184
21 222
22 260
23 316
24 356
25 426
26 484
27 572
28 622
29 720
30 776
31 882
32 966
33 1050
34 1130
35 1188
36 1272
37 1306
38 1410
39 1430
40 1492
41 1474
42 1486
43 1502
44 1490
45 1466
46 1384
47 1316
48 1222
49 1132
50 1026
51 904
52 820
53 836
54 604
55 392
56 312
57 240
58 156
59 80
60 0
