1 1 1898 1
3 3 1886 1.00636
6 3 1895 1.00158
9 3 1828 1.03829
12 3 1890 1.00423
15 3 1867 1.0166
18 3 1891 1.0037
21 3 1852 1.02484
24 3 1874 1.01281
27 3 1879 1.01011
30 3 1863 1.01879
3 6 1359 1.39662
6 6 1164 1.63058
9 6 1203 1.57772
12 6 1172 1.61945
15 6 1195 1.58828
18 6 1171 1.62084
21 6 1188 1.59764
24 6 1183 1.6044
27 6 1183 1.6044
30 6 1164 1.63058
3 9 961 1.97503
6 9 687 2.76274
9 9 468 4.05556
12 9 437 4.34325
15 9 434 4.37327
18 9 442 4.29412
21 9 438 4.33333
24 9 433 4.38337
27 9 445 4.26517
30 9 438 4.33333
3 12 766 2.47781
6 12 468 4.05556
9 12 445 4.26517
12 12 304 6.24342
15 12 332 5.71687
18 12 289 6.56747
21 12 273 6.95238
24 12 242 7.84298
27 12 250 7.592
30 12 246 7.71545
3 15 761 2.49409
6 15 402 4.72139
9 15 351 5.40741
12 15 238 7.97479
15 15 257 7.38521
18 15 230 8.25217
21 15 234 8.11111
24 15 188 10.0957
27 15 188 10.0957
30 15 187 10.1497
3 18 653 2.90658
6 18 414 4.58454
9 18 297 6.39057
12 18 211 8.99526
15 18 196 9.68367
18 18 180 10.5444
21 18 211 8.99526
24 18 152 12.4868
27 18 141 13.461
30 18 136 13.9559
3 21 723 2.62517
6 21 430 4.41395
9 21 293 6.47782
12 21 254 7.47244
15 21 215 8.82791
18 21 199 9.53769
21 21 192 9.88542
24 21 164 11.5732
27 21 144 13.1806
30 21 137 13.854
3 24 781 2.43022
6 24 445 4.26517
9 24 351 5.40741
12 24 297 6.39057
15 24 254 7.47244
18 24 223 8.51121
21 24 211 8.99526
24 24 199 9.53769
27 24 184 10.3152
30 24 176 10.7841
3 27 953 1.99161
6 27 578 3.28374
9 27 394 4.81726
12 27 360 5.27222
15 27 297 6.39057
18 27 269 7.05576
21 27 254 7.47244
24 27 250 7.592
27 27 231 8.21645
30 27 235 8.0766
3 30 946 2.00634
6 30 601 3.15807
9 30 480 3.95417
12 30 410 4.62927
15 30 391 4.85422
18 30 344 5.51744
21 30 328 5.78659
24 30 328 5.78659
27 30 320 5.93125
30 30 293 6.47782
3 33 1113 1.7053
6 33 747 2.54083
9 33 629 3.01749
12 33 570 3.32982
15 33 504 3.76587
18 33 473 4.01268
21 33 453 4.18985
24 33 449 4.22717
27 33 438 4.33333
30 33 422 4.49763
3 36 1301 1.45888
6 36 906 2.09492
9 36 757 2.50727
12 36 723 2.62517
15 36 700 2.71143
18 36 660 2.87576
21 36 633 2.99842
24 36 602 3.15282
27 36 582 3.26117
30 36 574 3.30662
