	1	1	1898
	3	3	1886
	6	3	1895
	9	3	1828
	12	3	1890
	15	3	1867
	18	3	1891
	21	3	1852
	24	3	1874
	27	3	1879
	30	3	1863
	3	6	1359
	6	6	1164
	9	6	1203
	12	6	1172
	15	6	1195
	18	6	1171
	21	6	1188
	24	6	1183
	27	6	1183
	30	6	1164
	3	9	961
	6	9	687
	9	9	468
	12	9	437
	15	9	434
	18	9	442
	21	9	438
	24	9	433
	27	9	445
	30	9	438
	3	12	766
	6	12	468
	9	12	445
	12	12	304
	15	12	332
	18	12	289
	21	12	273
	24	12	242
	27	12	250
	30	12	246
	3	15	761
	6	15	402
	9	15	351
	12	15	238
	15	15	257
	18	15	230
	21	15	234
	24	15	188
	27	15	188
	30	15	187
	3	18	653
	6	18	414
	9	18	297
	12	18	211
	15	18	196
	18	18	180
	21	18	211
	24	18	152
	27	18	141
	30	18	136
	3	21	723
	6	21	430
	9	21	293
	12	21	254
	15	21	215
	18	21	199
	21	21	192
	24	21	164
	27	21	144
	30	21	137
	3	24	781
	6	24	445
	9	24	351
	12	24	297
	15	24	254
	18	24	223
	21	24	211
	24	24	199
	27	24	184
	30	24	176
	3	27	953
	6	27	578
	9	27	394
	12	27	360
	15	27	297
	18	27	269
	21	27	254
	24	27	250
	27	27	231
	30	27	235
	3	30	946
	6	30	601
	9	30	480
	12	30	410
	15	30	391
	18	30	344
	21	30	328
	24	30	328
	27	30	320
	30	30	293
	3	33	1113
	6	33	747
	9	33	629
	12	33	570
	15	33	504
	18	33	473
	21	33	453
	24	33	449
	27	33	438
	30	33	422
	3	36	1301
	6	36	906
	9	36	757
	12	36	723
	15	36	700
	18	36	660
	21	36	633
	24	36	602
	27	36	582
	30	36	574
